Date,Open,High,Low,Close
12/31/2018,"2,498.94","2,509.24","2,482.82","2,506.85"
12/28/2018,"2,498.77","2,520.27","2,472.89","2,485.74"
12/27/2018,"2,442.50","2,489.10","2,397.94","2,488.83"
12/26/2018,"2,363.12","2,467.76","2,346.58","2,467.70"
12/24/2018,"2,400.56","2,410.34","2,351.10","2,351.10"
12/21/2018,"2,465.38","2,504.41","2,408.55","2,416.62"
12/20/2018,"2,496.77","2,509.63","2,441.18","2,467.42"
12/19/2018,"2,547.05","2,585.29","2,488.96","2,506.96"
12/18/2018,"2,559.90","2,573.99","2,528.71","2,546.16"
12/17/2018,"2,590.75","2,601.13","2,530.54","2,545.94"
12/14/2018,"2,629.68","2,635.07","2,593.84","2,599.95"
12/13/2018,"2,658.70","2,670.19","2,637.27","2,650.54"
12/12/2018,"2,658.23","2,685.44","2,650.26","2,651.07"
12/11/2018,"2,664.44","2,674.35","2,621.30","2,636.78"
12/10/2018,"2,630.86","2,647.51","2,583.23","2,637.72"
12/07/2018,"2,691.26","2,708.54","2,623.14","2,633.08"
12/06/2018,"2,663.51","2,696.15","2,621.53","2,695.95"
12/04/2018,"2,782.43","2,785.93","2,697.18","2,700.06"
12/03/2018,"2,790.50","2,800.18","2,773.38","2,790.37"
11/30/2018,"2,737.76","2,760.88","2,732.76","2,760.17"
11/29/2018,"2,736.97","2,753.75","2,722.94","2,737.76"
11/28/2018,"2,691.45","2,744.00","2,684.38","2,743.79"
11/27/2018,"2,663.75","2,682.53","2,655.89","2,682.17"
11/26/2018,"2,649.97","2,674.35","2,649.97","2,673.45"
11/23/2018,"2,633.36","2,647.55","2,631.09","2,632.56"
11/21/2018,"2,657.74","2,670.73","2,649.82","2,649.93"
11/20/2018,"2,654.60","2,669.44","2,631.52","2,641.89"
11/19/2018,"2,730.74","2,733.16","2,681.09","2,690.73"
11/16/2018,"2,718.54","2,746.75","2,712.16","2,736.27"
11/15/2018,"2,693.52","2,735.38","2,670.75","2,730.20"
11/14/2018,"2,737.90","2,746.80","2,685.75","2,701.58"
11/13/2018,"2,730.05","2,754.60","2,714.98","2,722.18"
11/12/2018,"2,773.93","2,775.99","2,722.00","2,726.22"
11/09/2018,"2,794.10","2,794.10","2,764.24","2,781.01"
11/08/2018,"2,806.38","2,814.75","2,794.99","2,806.83"
11/07/2018,"2,774.13","2,815.15","2,774.13","2,813.89"
11/06/2018,"2,738.40","2,756.82","2,737.08","2,755.45"
11/05/2018,"2,726.37","2,744.27","2,717.94","2,738.31"
11/02/2018,"2,745.45","2,756.55","2,700.44","2,723.06"
11/01/2018,"2,717.58","2,741.67","2,708.85","2,740.37"
10/31/2018,"2,705.60","2,736.69","2,705.60","2,711.74"
10/30/2018,"2,640.68","2,685.43","2,635.34","2,682.63"
10/29/2018,"2,682.65","2,706.85","2,603.54","2,641.25"
10/26/2018,"2,667.86","2,692.38","2,628.16","2,658.69"
10/25/2018,"2,674.88","2,722.70","2,667.84","2,705.57"
10/24/2018,"2,737.87","2,742.59","2,651.89","2,656.10"
10/23/2018,"2,721.03","2,753.59","2,691.43","2,740.69"
10/22/2018,"2,773.94","2,778.94","2,749.22","2,755.88"
10/19/2018,"2,775.66","2,797.77","2,760.27","2,767.78"
10/18/2018,"2,802.00","2,806.04","2,755.18","2,768.78"
10/17/2018,"2,811.67","2,816.94","2,781.81","2,809.21"
10/16/2018,"2,767.05","2,813.46","2,766.91","2,809.92"
10/15/2018,"2,763.83","2,775.99","2,749.03","2,750.79"
10/12/2018,"2,770.54","2,775.77","2,729.44","2,767.13"
10/11/2018,"2,776.87","2,795.14","2,710.51","2,728.37"
10/10/2018,"2,873.90","2,874.02","2,784.86","2,785.68"
10/09/2018,"2,882.51","2,894.83","2,874.27","2,880.34"
10/08/2018,"2,877.53","2,889.45","2,862.08","2,884.43"
10/05/2018,"2,902.54","2,909.64","2,869.29","2,885.57"
10/04/2018,"2,919.35","2,919.78","2,883.92","2,901.61"
10/03/2018,"2,931.69","2,939.86","2,921.36","2,925.51"
10/02/2018,"2,923.80","2,931.42","2,919.37","2,923.43"
10/01/2018,"2,926.29","2,937.06","2,917.91","2,924.59"
09/28/2018,"2,910.03","2,920.53","2,907.50","2,913.98"
