Date,Open,High,Low,Close
12/31/2015,"2,060.59","2,062.54","2,043.62","2,043.94"
12/30/2015,"2,077.34","2,077.34","2,061.97","2,063.36"
12/29/2015,"2,060.54","2,081.56","2,060.54","2,078.36"
12/28/2015,"2,057.77","2,057.77","2,044.20","2,056.50"
12/24/2015,"2,063.52","2,067.36","2,058.73","2,060.99"
12/23/2015,"2,042.20","2,064.73","2,042.20","2,064.29"
12/22/2015,"2,023.15","2,042.74","2,020.49","2,038.97"
12/21/2015,"2,010.27","2,022.90","2,005.93","2,021.15"
12/18/2015,"2,040.81","2,040.81","2,005.33","2,005.55"
12/17/2015,"2,073.76","2,076.37","2,041.66","2,041.89"
12/16/2015,"2,046.50","2,076.72","2,042.43","2,073.07"
12/15/2015,"2,025.55","2,053.87","2,025.55","2,043.41"
12/14/2015,"2,013.37","2,022.92","1,993.26","2,021.94"
12/11/2015,"2,047.27","2,047.27","2,008.80","2,012.37"
12/10/2015,"2,047.93","2,067.65","2,045.67","2,052.23"
12/09/2015,"2,061.17","2,080.33","2,036.53","2,047.62"
12/08/2015,"2,073.39","2,073.85","2,052.32","2,063.59"
12/07/2015,"2,090.42","2,090.42","2,066.78","2,077.07"
12/04/2015,"2,051.24","2,093.84","2,051.24","2,091.69"
12/03/2015,"2,080.71","2,085.00","2,042.35","2,049.62"
12/02/2015,"2,101.71","2,104.27","2,077.11","2,079.51"
12/01/2015,"2,082.93","2,103.37","2,082.93","2,102.63"
11/30/2015,"2,090.95","2,093.81","2,080.41","2,080.41"
11/27/2015,"2,088.82","2,093.29","2,084.13","2,090.11"
11/25/2015,"2,089.30","2,093.00","2,086.30","2,088.87"
11/24/2015,"2,084.42","2,094.12","2,070.29","2,089.14"
11/23/2015,"2,089.41","2,095.61","2,081.39","2,086.59"
11/20/2015,"2,082.82","2,097.06","2,082.82","2,089.17"
11/19/2015,"2,083.70","2,086.74","2,078.76","2,081.24"
11/18/2015,"2,051.99","2,085.31","2,051.99","2,083.58"
11/17/2015,"2,053.67","2,066.69","2,045.90","2,050.44"
11/16/2015,"2,022.08","2,053.22","2,019.39","2,053.19"
11/13/2015,"2,044.64","2,044.64","2,022.02","2,023.04"
11/12/2015,"2,072.29","2,072.29","2,045.66","2,045.97"
11/11/2015,"2,083.41","2,086.94","2,074.85","2,075.00"
11/10/2015,"2,077.19","2,083.67","2,069.91","2,081.72"
11/09/2015,"2,096.56","2,096.56","2,068.24","2,078.58"
11/06/2015,"2,098.60","2,101.91","2,083.74","2,099.20"
11/05/2015,"2,101.68","2,108.78","2,090.41","2,099.93"
11/04/2015,"2,110.60","2,114.59","2,096.98","2,102.31"
11/03/2015,"2,102.63","2,116.48","2,097.51","2,109.79"
11/02/2015,"2,080.76","2,106.20","2,080.76","2,104.05"
10/30/2015,"2,090.00","2,094.32","2,079.34","2,079.36"
10/29/2015,"2,088.35","2,092.52","2,082.63","2,089.41"
10/28/2015,"2,066.48","2,090.35","2,063.11","2,090.35"
10/27/2015,"2,068.75","2,070.37","2,058.84","2,065.89"
10/26/2015,"2,075.08","2,075.14","2,066.53","2,071.18"
10/23/2015,"2,058.19","2,079.74","2,058.19","2,075.15"
10/22/2015,"2,021.88","2,055.20","2,021.88","2,052.51"
10/21/2015,"2,033.47","2,037.97","2,017.22","2,018.94"
10/20/2015,"2,033.13","2,039.12","2,026.61","2,030.77"
10/19/2015,"2,031.73","2,034.45","2,022.31","2,033.66"
10/16/2015,"2,024.37","2,033.54","2,020.46","2,033.11"
10/15/2015,"1,996.47","2,024.15","1,996.47","2,023.86"
10/14/2015,"2,003.66","2,009.56","1,990.73","1,994.24"
10/13/2015,"2,015.00","2,022.34","2,001.78","2,003.69"
10/12/2015,"2,015.65","2,018.66","2,010.55","2,017.46"
10/09/2015,"2,013.73","2,020.13","2,007.61","2,014.89"
10/08/2015,"1,994.01","2,016.50","1,987.53","2,013.43"
10/07/2015,"1,982.34","1,999.31","1,976.44","1,995.83"
10/06/2015,"1,986.63","1,991.62","1,971.99","1,979.92"
10/05/2015,"1,954.33","1,989.17","1,954.33","1,987.05"
10/02/2015,"1,921.77","1,951.36","1,893.70","1,951.36"
10/01/2015,"1,919.65","1,927.21","1,900.70","1,923.82"
09/30/2015,"1,887.14","1,920.53","1,887.14","1,920.03"
09/29/2015,"1,881.90","1,899.48","1,871.91","1,884.09"
09/28/2015,"1,929.18","1,929.18","1,879.21","1,881.77"
09/25/2015,"1,935.93","1,952.89","1,921.50","1,931.34"
09/24/2015,"1,934.81","1,937.17","1,908.92","1,932.24"
09/23/2015,"1,943.24","1,949.52","1,932.57","1,938.76"
09/22/2015,"1,961.39","1,961.39","1,929.22","1,942.74"
09/21/2015,"1,960.84","1,979.64","1,955.80","1,966.97"
09/18/2015,"1,989.66","1,989.66","1,953.45","1,958.03"
09/17/2015,"1,995.33","2,020.86","1,986.73","1,990.20"
